"customer_id","age","gender","tenure","usage_frequency","support_calls","payment_delay","subscription_type","contract_length","total_spend","last_interaction","churn","churn_status","age_group","tenure_band","spend_tier","usage_band","support_calls_band","payment_delay_band","last_interaction_band","risk_label"
1,22,"Female",25,14,4,27,"Basic","Monthly",598,9,1,"Churned","18-25","Established (25-36m)","Mid (500-699)","Moderate (13-18)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","High"
2,41,"Female",28,28,7,13,"Standard","Monthly",584,20,0,"Retained","36-45","Established (25-36m)","Mid (500-699)","Very High (25-30)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
3,47,"Male",27,10,2,29,"Premium","Annual",757,21,0,"Retained","46-55","Established (25-36m)","Mid-High (700-899)","Low (7-12)","Low (1-2)","Severely Late (23-30d)","Concerning (15-21d)","Medium"
4,35,"Male",9,12,5,17,"Premium","Quarterly",232,18,0,"Retained","26-35","Early (1-12m)","Low (100-299)","Low (7-12)","Medium (3-5)","Very Late (16-22d)","Concerning (15-21d)","High"
5,53,"Female",58,24,9,2,"Standard","Annual",533,18,0,"Retained","46-55","Champion (49-60m)","Mid (500-699)","High (19-24)","Critical (9-10)","Slightly Late (1-7d)","Concerning (15-21d)","Medium"
6,30,"Male",41,14,10,10,"Premium","Monthly",500,29,0,"Retained","26-35","Loyal (37-48m)","Mid (500-699)","Moderate (13-18)","Critical (9-10)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
7,47,"Female",37,15,9,28,"Basic","Quarterly",574,14,1,"Churned","46-55","Loyal (37-48m)","Mid (500-699)","Moderate (13-18)","Critical (9-10)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
8,54,"Female",36,11,0,18,"Standard","Monthly",323,16,0,"Retained","46-55","Established (25-36m)","Mid-Low (300-499)","Low (7-12)","No Calls","Very Late (16-22d)","Concerning (15-21d)","Medium"
9,36,"Male",20,5,10,8,"Basic","Monthly",687,8,0,"Retained","36-45","Growing (13-24m)","Mid (500-699)","Very Low (1-6)","Critical (9-10)","Moderately Late (8-15d)","Mild Gap (8-14d)","High"
10,65,"Male",8,4,2,23,"Basic","Annual",995,10,0,"Retained","56-65","Early (1-12m)","High (900-1000)","Very Low (1-6)","Low (1-2)","Severely Late (23-30d)","Mild Gap (8-14d)","High"
11,46,"Female",42,27,9,21,"Standard","Annual",526,3,1,"Churned","46-55","Loyal (37-48m)","Mid (500-699)","Very High (25-30)","Critical (9-10)","Very Late (16-22d)","Recent (1-7d)","Critical"
